ID,Vehicles
20170701001,80.0
20170701011,80.0
20170701021,69.0
20170701031,70.0
20170701041,74.0
20170701051,72.0
20170701061,59.0
20170701071,56.0
20170701081,49.0
20170701091,43.0
20170701101,40.0
20170701111,43.0
20170701121,48.0
20170701131,51.0
20170701141,67.0
20170701151,87.0
20170701161,100.0
20170701171,99.0
20170701181,95.0
20170701191,99.0
20170701201,100.0
20170701211,104.0
20170701221,94.0
20170701231,106.0
20170702001,97.0
20170702011,104.0
20170702021,82.0
20170702031,83.0
20170702041,75.0
20170702051,69.0
20170702061,56.0
20170702071,47.0
20170702081,37.0
20170702091,35.0
20170702101,29.0
20170702111,30.0
20170702121,32.0
20170702131,41.0
20170702141,46.0
20170702151,55.0
20170702161,56.0
20170702171,57.0
20170702181,56.0
20170702191,55.0
20170702201,62.0
20170702211,60.0
20170702221,53.0
20170702231,54.0
20170703001,69.0
20170703011,70.0
20170703021,59.0
20170703031,55.0
20170703041,56.0
20170703051,50.0
20170703061,42.0
20170703071,38.0
20170703081,35.0
20170703091,29.0
20170703101,27.0
20170703111,25.0
20170703121,31.0
20170703131,36.0
20170703141,39.0
20170703151,50.0
20170703161,50.0
20170703171,53.0
20170703181,50.0
20170703191,48.0
20170703201,46.0
20170703211,49.0
20170703221,53.0
20170703231,51.0
20170704001,58.0
20170704011,62.0
20170704021,57.0
20170704031,61.0
20170704041,60.0
20170704051,49.0
20170704061,43.0
20170704071,40.0
20170704081,36.0
20170704091,30.0
20170704101,35.0
20170704111,39.0
20170704121,52.0
20170704131,55.0
20170704141,62.0
20170704151,97.0
20170704161,112.0
20170704171,114.0
20170704181,106.0
20170704191,116.0
20170704201,112.0
20170704211,105.0
20170704221,109.0
20170704231,109.0
20170705001,114.0
20170705011,108.0
20170705021,96.0
20170705031,92.0
20170705041,91.0
20170705051,79.0
20170705061,74.0
20170705071,57.0
20170705081,52.0
20170705091,43.0
20170705101,43.0
20170705111,43.0
20170705121,52.0
20170705131,61.0
20170705141,77.0
20170705151,93.0
20170705161,103.0
20170705171,114.0
20170705181,101.0
20170705191,108.0
20170705201,111.0
20170705211,102.0
20170705221,109.0
20170705231,115.0
20170706001,113.0
20170706011,109.0
20170706021,107.0
20170706031,102.0
20170706041,100.0
20170706051,85.0
20170706061,72.0
20170706071,63.0
20170706081,53.0
20170706091,44.0
20170706101,42.0
20170706111,45.0
20170706121,55.0
20170706131,61.0
20170706141,71.0
20170706151,97.0
20170706161,104.0
20170706171,111.0
20170706181,98.0
20170706191,107.0
20170706201,103.0
20170706211,101.0
20170706221,103.0
20170706231,106.0
20170707001,110.0
20170707011,107.0
20170707021,98.0
20170707031,95.0
20170707041,89.0
20170707051,77.0
20170707061,67.0
20170707071,55.0
20170707081,47.0
20170707091,42.0
20170707101,39.0
20170707111,45.0
20170707121,51.0
20170707131,59.0
20170707141,72.0
20170707151,108.0
20170707161,116.0
20170707171,120.0
20170707181,105.0
20170707191,120.0
20170707201,112.0
20170707211,104.0
20170707221,103.0
20170707231,112.0
20170708001,113.0
20170708011,111.0
20170708021,98.0
20170708031,92.0
20170708041,85.0
20170708051,79.0
20170708061,70.0
20170708071,59.0
20170708081,51.0
20170708091,38.0
20170708101,39.0
20170708111,42.0
20170708121,48.0
20170708131,62.0
20170708141,72.0
20170708151,88.0
20170708161,93.0
20170708171,97.0
20170708181,88.0
20170708191,96.0
20170708201,93.0
20170708211,83.0
20170708221,86.0
20170708231,89.0
20170709001,95.0
20170709011,91.0
20170709021,82.0
20170709031,76.0
20170709041,76.0
20170709051,67.0
20170709061,55.0
20170709071,48.0
20170709081,43.0
20170709091,34.0
20170709101,30.0
20170709111,35.0
20170709121,37.0
20170709131,39.0
20170709141,45.0
20170709151,52.0
20170709161,56.0
20170709171,56.0
20170709181,54.0
20170709191,56.0
20170709201,57.0
20170709211,59.0
20170709221,57.0
20170709231,59.0
20170710001,66.0
20170710011,65.0
20170710021,67.0
20170710031,65.0
20170710041,64.0
20170710051,58.0
20170710061,45.0
20170710071,36.0
20170710081,34.0
20170710091,29.0
20170710101,26.0
20170710111,28.0
20170710121,33.0
20170710131,38.0
20170710141,45.0
20170710151,53.0
20170710161,57.0
20170710171,59.0
20170710181,61.0
20170710191,56.0
20170710201,55.0
20170710211,58.0
20170710221,57.0
20170710231,60.0
20170711001,67.0
20170711011,65.0
20170711021,62.0
20170711031,65.0
20170711041,61.0
20170711051,60.0
20170711061,52.0
20170711071,43.0
20170711081,41.0
20170711091,35.0
20170711101,34.0
20170711111,42.0
20170711121,49.0
20170711131,56.0
20170711141,65.0
20170711151,74.0
20170711161,82.0
20170711171,92.0
20170711181,85.0
20170711191,88.0
20170711201,87.0
20170711211,89.0
20170711221,94.0
20170711231,108.0
20170712001,112.0
20170712011,108.0
20170712021,104.0
20170712031,100.0
20170712041,98.0
20170712051,93.0
20170712061,76.0
20170712071,70.0
20170712081,52.0
20170712091,44.0
20170712101,42.0
20170712111,47.0
20170712121,53.0
20170712131,63.0
20170712141,73.0
20170712151,94.0
20170712161,129.0
20170712171,122.0
20170712181,108.0
20170712191,120.0
20170712201,115.0
20170712211,113.0
20170712221,117.0
20170712231,123.0
20170713001,125.0
20170713011,122.0
20170713021,112.0
20170713031,99.0
20170713041,99.0
20170713051,90.0
20170713061,71.0
20170713071,64.0
20170713081,56.0
20170713091,45.0
20170713101,41.0
20170713111,46.0
20170713121,55.0
20170713131,60.0
20170713141,71.0
20170713151,89.0
20170713161,109.0
20170713171,114.0
20170713181,104.0
20170713191,115.0
20170713201,116.0
20170713211,103.0
20170713221,106.0
20170713231,114.0
20170714001,125.0
20170714011,113.0
20170714021,103.0
20170714031,97.0
20170714041,97.0
20170714051,87.0
20170714061,77.0
20170714071,64.0
20170714081,49.0
20170714091,46.0
20170714101,41.0
20170714111,50.0
20170714121,51.0
20170714131,56.0
20170714141,69.0
20170714151,105.0
20170714161,113.0
20170714171,118.0
20170714181,104.0
20170714191,113.0
20170714201,114.0
20170714211,108.0
20170714221,112.0
20170714231,113.0
20170715001,114.0
20170715011,111.0
20170715021,102.0
20170715031,97.0
20170715041,96.0
20170715051,87.0
20170715061,68.0
20170715071,61.0
20170715081,50.0
20170715091,44.0
20170715101,42.0
20170715111,45.0
20170715121,54.0
20170715131,58.0
20170715141,69.0
20170715151,89.0
20170715161,102.0
20170715171,100.0
20170715181,90.0
20170715191,105.0
20170715201,102.0
20170715211,96.0
20170715221,91.0
20170715231,96.0
20170716001,106.0
20170716011,97.0
20170716021,91.0
20170716031,85.0
20170716041,79.0
20170716051,81.0
20170716061,81.0
20170716071,71.0
20170716081,71.0
20170716091,75.0
20170716101,74.0
20170716111,60.0
20170716121,57.0
20170716131,50.0
20170716141,44.0
20170716151,42.0
20170716161,45.0
20170716171,50.0
20170716181,53.0
20170716191,68.0
20170716201,89.0
20170716211,102.0
20170716221,100.0
20170716231,96.0
20170717001,101.0
20170717011,101.0
20170717021,106.0
20170717031,95.0
20170717041,107.0
20170717051,98.0
20170717061,105.0
20170717071,84.0
20170717081,85.0
20170717091,76.0
20170717101,70.0
20170717111,57.0
20170717121,48.0
20170717131,39.0
20170717141,37.0
20170717151,31.0
20170717161,32.0
20170717171,34.0
20170717181,43.0
20170717191,48.0
20170717201,57.0
20170717211,58.0
20170717221,59.0
20170717231,58.0
20170718001,57.0
20170718011,64.0
20170718021,62.0
20170718031,55.0
20170718041,56.0
20170718051,71.0
20170718061,72.0
20170718071,61.0
20170718081,57.0
20170718091,58.0
20170718101,52.0
20170718111,44.0
20170718121,40.0
20170718131,37.0
20170718141,31.0
20170718151,29.0
20170718161,27.0
20170718171,33.0
20170718181,38.0
20170718191,41.0
20170718201,52.0
20170718211,52.0
20170718221,55.0
20170718231,52.0
20170719001,50.0
20170719011,48.0
20170719021,51.0
20170719031,55.0
20170719041,53.0
20170719051,60.0
20170719061,64.0
20170719071,59.0
20170719081,63.0
20170719091,62.0
20170719101,51.0
20170719111,45.0
20170719121,42.0
20170719131,38.0
20170719141,32.0
20170719151,37.0
20170719161,41.0
20170719171,54.0
20170719181,57.0
20170719191,64.0
20170719201,99.0
20170719211,114.0
20170719221,116.0
20170719231,108.0
20170720001,118.0
20170720011,114.0
20170720021,107.0
20170720031,111.0
20170720041,111.0
20170720051,116.0
20170720061,110.0
20170720071,98.0
20170720081,94.0
20170720091,93.0
20170720101,81.0
20170720111,76.0
20170720121,59.0
20170720131,54.0
20170720141,45.0
20170720151,45.0
20170720161,45.0
20170720171,54.0
20170720181,63.0
20170720191,79.0
20170720201,95.0
20170720211,105.0
20170720221,116.0
20170720231,103.0
20170721001,110.0
20170721011,113.0
20170721021,104.0
20170721031,111.0
20170721041,117.0
20170721051,115.0
20170721061,111.0
20170721071,109.0
20170721081,104.0
20170721091,102.0
20170721101,87.0
20170721111,74.0
20170721121,65.0
20170721131,55.0
20170721141,46.0
20170721151,44.0
20170721161,47.0
20170721171,57.0
20170721181,63.0
20170721191,73.0
20170721201,99.0
20170721211,106.0
20170721221,113.0
20170721231,100.0
20170722001,109.0
20170722011,105.0
20170722021,103.0
20170722031,105.0
20170722041,108.0
20170722051,112.0
20170722061,109.0
20170722071,100.0
20170722081,97.0
20170722091,91.0
20170722101,79.0
20170722111,69.0
20170722121,57.0
20170722131,49.0
20170722141,44.0
20170722151,41.0
20170722161,47.0
20170722171,53.0
20170722181,61.0
20170722191,74.0
20170722201,110.0
20170722211,118.0
20170722221,122.0
20170722231,107.0
20170723001,122.0
20170723011,114.0
20170723021,106.0
20170723031,105.0
20170723041,114.0
20170723051,115.0
20170723061,113.0
20170723071,100.0
20170723081,94.0
20170723091,87.0
20170723101,81.0
20170723111,72.0
20170723121,61.0
20170723131,53.0
20170723141,40.0
20170723151,41.0
20170723161,44.0
20170723171,50.0
20170723181,64.0
20170723191,74.0
20170723201,90.0
20170723211,95.0
20170723221,99.0
20170723231,90.0
20170724001,98.0
20170724011,95.0
20170724021,85.0
20170724031,88.0
20170724041,91.0
20170724051,97.0
20170724061,93.0
20170724071,84.0
20170724081,78.0
20170724091,78.0
20170724101,69.0
20170724111,57.0
20170724121,50.0
20170724131,45.0
20170724141,36.0
20170724151,32.0
20170724161,37.0
20170724171,39.0
20170724181,41.0
20170724191,47.0
20170724201,54.0
20170724211,58.0
20170724221,58.0
20170724231,56.0
20170725001,58.0
20170725011,59.0
20170725021,61.0
20170725031,59.0
20170725041,61.0
20170725051,68.0
20170725061,67.0
20170725071,69.0
20170725081,67.0
20170725091,66.0
20170725101,60.0
20170725111,47.0
20170725121,38.0
20170725131,36.0
20170725141,31.0
20170725151,28.0
20170725161,30.0
20170725171,35.0
20170725181,40.0
20170725191,47.0
20170725201,55.0
20170725211,59.0
20170725221,61.0
20170725231,63.0
20170726001,58.0
20170726011,57.0
20170726021,60.0
20170726031,59.0
20170726041,62.0
20170726051,69.0
20170726061,67.0
20170726071,64.0
20170726081,67.0
20170726091,63.0
20170726101,62.0
20170726111,54.0
20170726121,45.0
20170726131,43.0
20170726141,37.0
20170726151,36.0
20170726161,44.0
20170726171,51.0
20170726181,58.0
20170726191,67.0
20170726201,76.0
20170726211,84.0
20170726221,94.0
20170726231,87.0
20170727001,90.0
20170727011,89.0
20170727021,91.0
20170727031,96.0
20170727041,110.0
20170727051,114.0
20170727061,110.0
20170727071,106.0
20170727081,102.0
20170727091,100.0
20170727101,95.0
20170727111,78.0
20170727121,72.0
20170727131,54.0
20170727141,46.0
20170727151,44.0
20170727161,49.0
20170727171,55.0
20170727181,65.0
20170727191,75.0
20170727201,96.0
20170727211,131.0
20170727221,124.0
20170727231,110.0
20170728001,122.0
20170728011,117.0
20170728021,115.0
20170728031,119.0
20170728041,125.0
20170728051,127.0
20170728061,124.0
20170728071,114.0
20170728081,101.0
20170728091,101.0
20170728101,92.0
20170728111,73.0
20170728121,66.0
20170728131,58.0
20170728141,47.0
20170728151,43.0
20170728161,48.0
20170728171,57.0
20170728181,62.0
20170728191,73.0
20170728201,91.0
20170728211,111.0
20170728221,116.0
20170728231,106.0
20170729001,117.0
20170729011,118.0
20170729021,105.0
20170729031,108.0
20170729041,116.0
20170729051,127.0
20170729061,115.0
20170729071,105.0
20170729081,99.0
20170729091,99.0
20170729101,89.0
20170729111,79.0
20170729121,66.0
20170729131,51.0
20170729141,48.0
20170729151,43.0
20170729161,52.0
20170729171,53.0
20170729181,58.0
20170729191,71.0
20170729201,107.0
20170729211,115.0
20170729221,120.0
20170729231,106.0
20170730001,115.0
20170730011,116.0
20170730021,110.0
20170730031,114.0
20170730041,115.0
20170730051,116.0
20170730061,113.0
20170730071,104.0
20170730081,99.0
20170730091,98.0
20170730101,89.0
20170730111,70.0
20170730121,63.0
20170730131,52.0
20170730141,46.0
20170730151,44.0
20170730161,47.0
20170730171,56.0
20170730181,60.0
20170730191,71.0
20170730201,91.0
20170730211,104.0
20170730221,102.0
20170730231,92.0
20170731001,107.0
20170731011,104.0
20170731021,98.0
20170731031,93.0
20170731041,98.0
20170731051,108.0
20170731061,99.0
20170731071,93.0
20170731081,87.0
20170731091,81.0
20170731101,83.0
20170731111,82.0
20170731121,72.0
20170731131,72.0
20170731141,77.0
20170731151,75.0
20170731161,61.0
20170731171,59.0
20170731181,52.0
20170731191,45.0
20170731201,43.0
20170731211,46.0
20170731221,51.0
20170731231,54.0
20170801001,69.0
20170801011,90.0
20170801021,103.0
20170801031,102.0
20170801041,97.0
20170801051,102.0
20170801061,103.0
20170801071,107.0
20170801081,96.0
20170801091,108.0
20170801101,99.0
20170801111,106.0
20170801121,85.0
20170801131,86.0
20170801141,78.0
20170801151,72.0
20170801161,59.0
20170801171,50.0
20170801181,40.0
20170801191,38.0
20170801201,32.0
20170801211,33.0
20170801221,35.0
20170801231,44.0
20170802001,49.0
20170802011,58.0
20170802021,59.0
20170802031,60.0
20170802041,59.0
20170802051,58.0
20170802061,65.0
20170802071,63.0
20170802081,56.0
20170802091,57.0
20170802101,72.0
20170802111,73.0
20170802121,62.0
20170802131,58.0
20170802141,59.0
20170802151,53.0
20170802161,45.0
20170802171,41.0
20170802181,38.0
20170802191,32.0
20170802201,30.0
20170802211,28.0
20170802221,34.0
20170802231,39.0
20170803001,42.0
20170803011,53.0
20170803021,53.0
20170803031,56.0
20170803041,53.0
20170803051,51.0
20170803061,49.0
20170803071,52.0
20170803081,56.0
20170803091,54.0
20170803101,61.0
20170803111,65.0
20170803121,60.0
20170803131,64.0
20170803141,63.0
20170803151,52.0
20170803161,46.0
20170803171,43.0
20170803181,39.0
20170803191,33.0
20170803201,38.0
20170803211,42.0
20170803221,55.0
20170803231,58.0
20170804001,65.0
20170804011,100.0
20170804021,115.0
20170804031,117.0
20170804041,109.0
20170804051,119.0
20170804061,115.0
20170804071,108.0
20170804081,112.0
20170804091,112.0
20170804101,117.0
20170804111,111.0
20170804121,99.0
20170804131,95.0
20170804141,94.0
20170804151,82.0
20170804161,77.0
20170804171,60.0
20170804181,55.0
20170804191,46.0
20170804201,46.0
20170804211,46.0
20170804221,55.0
20170804231,64.0
20170805001,80.0
20170805011,96.0
20170805021,106.0
20170805031,117.0
20170805041,104.0
